"","Species","EdHd","MoBd","JlHd","EhBd","BlBd"
"137","Notropis shumardi",0.580134755,0.433810612,0.484212794834702,0.502299634,1.69180902143001
"138","Notropis simus",0.5073978,0.377222028,0.346751508416882,0.470593978,1.59531784848025
"139","Notropis stramineus",0.545412046,0.382686611,0.359810039187878,0.530547179,1.62889091999297
"140","Notropis texanus",0.596754943,0.454914304,0.334176474804111,0.504110622,1.63532911686522
"141","Notropis volucellus",0.523342476,0.389204387,0.337484364960762,0.56716108,1.71525264158136
"142","Noturus flavus",0.349859803,0.264218641,0.230498706124051,0.586166815,1.8506812770597
"143","Noturus gyrinus",0.274446036,0.276521888,0.220239190538687,0.565012387,1.78600693659341
"144","Noturus nocturnus",0.271097744,0.344339476,0.433538514491424,0.660394517,1.98406270099341
"145","Oncorhynchus mykiss",0.260275693,0.578881876,0.604152623458879,0.61845685,1.44851382344303
"146","Opsopoeodus emiliae",0.632386747,0.55649195,0.252523872386219,0.50430507,1.71965900936475
"147","Oreochromis mossambicus",0.221400067,0.500847926,0.281641098958556,0.558858251,1.16406185655154
"148","Oxyeleotris lineolata",0.418052205,0.359965891,0.519020421899659,0.520187599,1.8236240376836
"149","Parachondrostoma miegii",0.463490795,0.322560554,0.425407649798875,0.379653979,1.71333853937277
"150","Parachondrostoma toxostoma",0.432179532,0.465760725,0.257462602464855,0.547940595,1.68575130870838
"151","Perca flavescens",0.388464514,0.401412646,0.469330355773008,0.487982482,1.5373363531948
"152","Perca fluviatilis",0.392577779,0.500006853,0.436069779419164,0.542378805,1.46949078544333
"153","Percina caprodes",0.479622892,0.404940529,0.492183052884106,0.628528375,1.91326122601024
"154","Percina copelandi",0.477850746,0.443383939,0.296083251017636,0.709400057,1.95081862717085
"155","Percina macrolepida",0.500318081,0.464994188,0.405306612881793,0.635069562,1.97059322334236
"156","Percina maculata",0.542362541,0.372678922,0.443044010766348,0.549215686,1.86195292696727
"157","Percina phoxocephala",0.547276906,0.336492208,0.322648292541856,0.521565625,1.89857465104585
"158","Percina sciera",0.461411023,0.28682921,0.38167427182862,0.535692706,1.81168505367058
"159","Percina shumardi",0.439712863,0.265235331,0.356950946246591,0.49908513,1.72362777574943
"160","Percopsis omiscomaycus",0.405373194,0.22581368,0.275514350305119,0.498044927,1.75602692333956
"161","Phenacobius mirabilis",0.373708216,0.284658877,NA,0.558431964,1.75039679801294
"162","Phoxinus phoxinus",0.476713074,0.189093023,0.326513969400838,0.454790698,1.83914591706123
"163","Pimephales notatus",0.458908922,0.354958525,0.299436610881799,0.529953917,1.71372900862672
"164","Pimephales promelas",0.590588117,0.427274563,0.314992759769751,0.499886244,1.75679669862422
"165","Pimephales vigilax",0.487987952,0.456046247,0.326430593370623,0.607769556,1.66644354768177
"166","Platichthys flesus",0.320122103,0.51860754,0.333504253656856,0.610478062,1.17542974573111
"167","Poecilia reticulata",0.584171753,0.807199679,0.313435590375707,0.659657349,1.58248884235729
"168","Polyodon spathula",0.388798331,0.360698597,0.429692364957672,0.56573728,2.05128401178121
"169","Pomoxis annularis",0.437037037,0.448093767,0.430677910579568,0.459940079,1.29920544021472
"170","Pomoxis nigromaculatus",0.344596161,0.502919306,0.490934775162426,0.518641217,1.14482361429951
"171","Porochilus rendahli",0.373249315,0.456795128,0.237543612565052,0.509351786,1.75018144159094
"172","Pseudomugil signifer",0.732767857,0.644360219,0.413043462371206,0.518817624,1.5844605400335
"173","Pseudorasbora parva",0.46969697,0.586216929,0.251442366318709,0.581906621,1.74844282816297
"174","Pungitius pungitius",0.547368421,0.518242705,0.355891479510612,0.507155518,1.79917294637331
"175","Pylodictis olivaris",0.291049242,0.413166319,0.297404541702902,0.611500816,1.80116935852444
"176","Redigobius bikolanus",0.450424274,0.449641467,0.347631864268721,0.609119262,1.51956380756451
"177","Retropinna semoni",0.507198667,0.614536945,0.474382506080395,0.644816338,1.89193781013277
"178","Rhadinocentrus ornatus",0.496855142,0.553593226,0.394905072682933,0.435421117,1.59010164719823
"179","Rhodeus amarus",0.509007617,0.384101293,0.320838923556812,0.460064888,1.24148574294667
"180","Rhodeus sericeus",0.494956238,0.432248832,0.28237352802982,0.507015187,1.3192736341234
"181","Rutilus rutilus",0.495975923,0.375354359,0.347506298978525,0.454568915,1.41587477769095
"182","Salaria fluviatilis",0.255084507,0.345336634,0.434166621299591,0.730257426,1.73984412983167
"183","Salmo salar",0.20859375,0.424334804,0.59720398794528,0.467510023,1.60070607929697
"184","Salmo trutta",0.309869711,0.490952251,0.58156031859751,0.58732926,1.63759819584469
"185","Salvelinus fontinalis",0.320154569,0.56764812,0.661254283978327,0.6354576,1.49780937123871
"186","Sander canadensis",0.347475989,0.342916634,0.59450794143164,0.491267055,1.80560545956244
"187","Sander lucioperca",0.493332767,0.228995964,0.503045308253521,0.388211694,1.69309391334023
"188","Sander vitreus",0.404434821,0.346393314,0.556382444022567,0.514283368,1.71113753565503
"189","Sarmarutilus rubilio",0.481140673,0.463005154,0.306011649901385,0.537126999,1.49098291863941
"190","Scaphirhynchus platorynchus",0.299085821,0.159404118,NA,0.697987161,2.57377340311308
"191","Semotilus atromaculatus",0.218166096,0.289871763,0.384673746615386,0.509366999,1.63216477195338
"192","Silurus glanis",0.210233364,0.526157027,0.321365595160874,0.57179471,1.92277989827045
"193","Squalius cephalus",0.359761796,0.532037571,0.379848739319717,0.608186863,1.52009889593769
"194","Tandanus tandanus",0.288607032,0.296681489,0.158411020531318,0.573341784,1.70692946386189
"195","Telestes souffia",0.4,0.49956701,0.389798581781225,0.580587629,1.76211475263598
"196","Thymallus thymallus",0.432042983,0.469727328,0.432238026905033,0.62623673,1.75065919328278
"197","Tinca tinca",0.2064545,0.41207078,0.307054505021595,0.520095421,1.32365079861358
"198","Umbra limi",0.51628033,0.434617939,0.379706571906349,0.505221803,1.64684780916389
